fileid,filename,speaker,speech,premise,claim,argumentation scheme,argument target
UNSC_2014_SPV.7165_spch016,UNSC_2014_SPV.7165_spch016_sentsplit_Lithuania.txt,Lithuania,16,"adding to the growing list of breaches of Russia's international commitments, such as the Helsinki Final Act, the 1991 Almaty Declaration, the Budapest Memorandum of 1994, the Treaty of Friendship and Cooperation between Russia and Ukraine of l997 and the Charter of the United Nations itself.","the Geneva statement is just another document to be signed and discarded by Russia,",evidence,Russian Federation
UNSC_2014_SPV.7165_spch016,UNSC_2014_SPV.7165_spch016_sentsplit_Lithuania.txt,Lithuania,16,Barricades in Maidan Square are being dismantled.,"Despite growing provocations, the Ukrainian authorities have taken a number of concrete steps to follow up on the Geneva statement.",evidence,Ukraine
UNSC_2014_SPV.7165_spch016,UNSC_2014_SPV.7165_spch016_sentsplit_Lithuania.txt,Lithuania,16,I recall my French colleague referring a number of times to the Internet and Google.,"Despite growing provocations, the Ukrainian authorities have taken a number of concrete steps to follow up on the Geneva statement.",evidence,Ukraine
UNSC_2014_SPV.7165_spch016,UNSC_2014_SPV.7165_spch016_sentsplit_Lithuania.txt,Lithuania,16,Users of those will see that there is a significant difference in terms of what is happening on the streets of Kyiv.,"Despite growing provocations, the Ukrainian authorities have taken a number of concrete steps to follow up on the Geneva statement.",evidence,Ukraine
UNSC_2014_SPV.7165_spch016,UNSC_2014_SPV.7165_spch016_sentsplit_Lithuania.txt,Lithuania,16,barricades are being dismantled.,"Despite growing provocations, the Ukrainian authorities have taken a number of concrete steps to follow up on the Geneva statement.",evidence,Ukraine
UNSC_2014_SPV.7165_spch016,UNSC_2014_SPV.7165_spch016_sentsplit_Lithuania.txt,Lithuania,16,"The Kiyv city administration building has re-opened, as has the main thoroughfare of the city, Khreschatik.","Despite growing provocations, the Ukrainian authorities have taken a number of concrete steps to follow up on the Geneva statement.",evidence,Ukraine
UNSC_2014_SPV.7165_spch016,UNSC_2014_SPV.7165_spch016_sentsplit_Lithuania.txt,Lithuania,16,"Important proposals regarding the status of the Russian language, amnesty, greater rights for the regions, as well as limitations on the President's power, have been put forward by the transitional Governmet.","Despite growing provocations, the Ukrainian authorities have taken a number of concrete steps to follow up on the Geneva statement.",evidence,Ukraine
UNSC_2014_SPV.7165_spch016,UNSC_2014_SPV.7165_spch016_sentsplit_Lithuania.txt,Lithuania,16,"Indeed, as Ambassador Churkin referred to earlier today, constitutional reform was being discussed by the Parliament in a public session accessible to all.","Despite growing provocations, the Ukrainian authorities have taken a number of concrete steps to follow up on the Geneva statement.",evidence,Ukraine
UNSC_2014_SPV.7165_spch016,UNSC_2014_SPV.7165_spch016_sentsplit_Lithuania.txt,Lithuania,16,"Unanimous decisions and acceptance of whatever is put on the table is something that abelongs to regimes, not democratic Governments.","But, again, a major debate that includes criticism is a sign of democracy.",positive_value,Ukraine
UNSC_2014_SPV.7165_spch016,UNSC_2014_SPV.7165_spch016_sentsplit_Lithuania.txt,Lithuania,16,"Unanimous decisions and acceptance of whatever is put on the table is something that abelongs to regimes, not democratic Governments.",We therefore welcome the discussion.,negative_value,Other
